CÓDIGO DE PARADA;PARADA;COORENADA X;COORDENADA Y;LÍNEA-DESTINO;;
571;Avenida José Luis Arrese 10, esquina Avenida Salamanca;-4,738312;41,650708;3-Girón ;;
571;Avenida José Luis Arrese 10, esquina Avenida Salamanca;-4,738312;41,650708;B2-La Victoria;;
571;Avenida José Luis Arrese 10, esquina Avenida Salamanca;-4,738312;41,650708;F4-Estadio;;
568;Avenida José Luis Arrese 2, frente Plaza del Milenio;-4,735271;41,649801;3-Girón  ;;
568;Avenida José Luis Arrese 2, frente Plaza del Milenio;-4,735271;41,649801;6-La Victoria ;;
568;Avenida José Luis Arrese 2, frente Plaza del Milenio;-4,735271;41,649801;8-Parquesol ;;
568;Avenida José Luis Arrese 2, frente Plaza del Milenio;-4,735271;41,649801;B2-La Victoria;;
568;Avenida José Luis Arrese 2, frente Plaza del Milenio;-4,735271;41,649801;B3-Parquesol ;;
568;Avenida José Luis Arrese 2, frente Plaza del Milenio;-4,735271;41,649801;F2-Estadio ;;
568;Avenida José Luis Arrese 2, frente Plaza del Milenio;-4,735271;41,649801;F3-Estadio;;
568;Avenida José Luis Arrese 2, frente Plaza del Milenio;-4,735271;41,649801;F4-Estadio;;
568;Avenida José Luis Arrese 2, frente Plaza del Milenio;-4,735271;41,649801;F5-Estadio ;;
572;Avenida José Luis Arrese 5, esquina Avenida Salamanca;-4,740152;41,651152;10-Parquesol;;
572;Avenida José Luis Arrese 5, esquina Avenida Salamanca;-4,740152;41,651152;25-Entrepinos ;;
572;Avenida José Luis Arrese 5, esquina Avenida Salamanca;-4,740152;41,651152;3-Las Flores ;;
572;Avenida José Luis Arrese 5, esquina Avenida Salamanca;-4,740152;41,651152;5-Entrepinos;;
572;Avenida José Luis Arrese 5, esquina Avenida Salamanca;-4,740152;41,651152;F6-Estadio;;
572;Avenida José Luis Arrese 5, esquina Avenida Salamanca;-4,740152;41,651152;P3-Polígono San Cristóbal;;
569;Avenida José Luis Arrese, frente 23 esquina Pío del Río Hortega;-4,741182;41,651672;3-Girón ;;
570;Avenida José Luis Arrese, Plaza del Milenio;-4,735320;41,649647;25-Entrepinos ;;
570;Avenida José Luis Arrese, Plaza del Milenio;-4,735320;41,649647;5-Entrepinos;;
715;Avenida Julián Merino Lápice, Piscinas Municipales (la Cistérniga);-4,683004;41,609231;18-La Overuela ;;
715;Avenida Julián Merino Lápice, Piscinas Municipales (la Cistérniga);-4,683004;41,609231;19-Plaza España;;
715;Avenida Julián Merino Lápice, Piscinas Municipales (la Cistérniga);-4,683004;41,609231;B5-Duque de La Victoria ;;
715;Avenida Julián Merino Lápice, Piscinas Municipales (la Cistérniga);-4,683004;41,609231;M7-Duque de La Victoria ;;
632;Avenida Los Cerros 1, esquina Transformador;-4,746790;41,655132;10-Parquesol;;
632;Avenida Los Cerros 1, esquina Transformador;-4,746790;41,655132;3-Las Flores ;;
632;Avenida Los Cerros 1, esquina Transformador;-4,746790;41,655132;B2-Delicias;;
632;Avenida Los Cerros 1, esquina Transformador;-4,746790;41,655132;C1-Parquesol;;
632;Avenida Los Cerros 1, esquina Transformador;-4,746790;41,655132;M4-Plaza España ;;
632;Avenida Los Cerros 1, esquina Transformador;-4,746790;41,655132;P3-Polígono San Cristóbal;;
633;Avenida Los Cerros 46, esquina calle Hogar;-4,746966;41,655295;10-La Victoria;;
633;Avenida Los Cerros 46, esquina calle Hogar;-4,746966;41,655295;3-Girón ;;
633;Avenida Los Cerros 46, esquina calle Hogar;-4,746966;41,655295;B2-La Victoria;;
633;Avenida Los Cerros 46, esquina calle Hogar;-4,746966;41,655295;C2-Parquesol ;;
630;Avenida Los Cerros, esquina calle Oriental;-4,744178;41,655128;10-La Victoria;;
630;Avenida Los Cerros, esquina calle Oriental;-4,744178;41,655128;3-Girón ;;
630;Avenida Los Cerros, esquina calle Oriental;-4,744178;41,655128;B2-La Victoria;;
630;Avenida Los Cerros, esquina calle Oriental;-4,744178;41,655128;C2-Parquesol ;;
631;Avenida Los Cerros, esquina Tajahierro;-4,744189;41,654968;10-Parquesol;;
631;Avenida Los Cerros, esquina Tajahierro;-4,744189;41,654968;3-Las Flores ;;
631;Avenida Los Cerros, esquina Tajahierro;-4,744189;41,654968;B2-Delicias;;
631;Avenida Los Cerros, esquina Tajahierro;-4,744189;41,654968;C1-Parquesol;;
631;Avenida Los Cerros, esquina Tajahierro;-4,744189;41,654968;M4-Plaza España ;;
631;Avenida Los Cerros, esquina Tajahierro;-4,744189;41,654968;P3-Polígono San Cristóbal;;
729;Avenida Medina del Campo 15, frente ambulatorio Arturo Eyries;-4,748014;41,633577;10-La Victoria;;
729;Avenida Medina del Campo 15, frente ambulatorio Arturo Eyries;-4,748014;41,633577;B4-Camino Viejo Simancas;;
729;Avenida Medina del Campo 15, frente ambulatorio Arturo Eyries;-4,748014;41,633577;F1-Estación Autobuses;;
731;Avenida Medina del Campo, esquina Calle Barlovento;-4,744836;41,633227;10-La Victoria;;
731;Avenida Medina del Campo, esquina Calle Barlovento;-4,744836;41,633227;7-Belén ;;
731;Avenida Medina del Campo, esquina Calle Barlovento;-4,744836;41,633227;B4-Camino Viejo Simancas;;
731;Avenida Medina del Campo, esquina Calle Barlovento;-4,744836;41,633227;F1-Estación Autobuses;;
732;Avenida Medina del Campo, frente 19 ambulatorio Arturo Eyries;-4,748126;41,633711;10-Parquesol;;
732;Avenida Medina del Campo, frente 19 ambulatorio Arturo Eyries;-4,748126;41,633711;B4-Plaza Mayor;;
732;Avenida Medina del Campo, frente 19 ambulatorio Arturo Eyries;-4,748126;41,633711;F1-Estadio;;
730;Avenida Medina del Campo, frente Calle Barlovento;-4,744999;41,633367;10-Parquesol;;
730;Avenida Medina del Campo, frente Calle Barlovento;-4,744999;41,633367;7-Arturo Eyries;;
730;Avenida Medina del Campo, frente Calle Barlovento;-4,744999;41,633367;B4-Plaza Mayor;;
730;Avenida Medina del Campo, frente Calle Barlovento;-4,744999;41,633367;F1-Estadio;;
1220;Avenida Miguel de Cervantes, en aparcamiento (Simancas);-4,845075;41,569977;25-Entrepinos ;;
1220;Avenida Miguel de Cervantes, en aparcamiento (Simancas);-4,845075;41,569977;5-Entrepinos;;
1220;Avenida Miguel de Cervantes, en aparcamiento (Simancas);-4,845075;41,569977;B4-Camino Viejo Simancas;;
761;Avenida Mundial 82, Estadio José Zorrilla;-4,759583;41,644557;F1-Estadio;;
761;Avenida Mundial 82, Estadio José Zorrilla;-4,759583;41,644557;F2-Estadio;;
761;Avenida Mundial 82, Estadio José Zorrilla;-4,759583;41,644557;F3-Estadio;;
761;Avenida Mundial 82, Estadio José Zorrilla;-4,759583;41,644557;F4-Estadio;;
761;Avenida Mundial 82, Estadio José Zorrilla;-4,759583;41,644557;F5-Estadio;;
761;Avenida Mundial 82, Estadio José Zorrilla;-4,759583;41,644557;F6-Estadio ;;
778;Avenida Palencia 2 ;-4,718928;41,659229;1-San Pedro Regalado;;
778;Avenida Palencia 2 ;-4,718928;41,659229;B1-San Pedro Regalado;;
779;Avenida Palencia 41, barrio 25 años de Paz;-4,716878;41,661293;1-Covaresa;;
779;Avenida Palencia 41, barrio 25 años de Paz;-4,716878;41,661293;B1-Covaresa;;
779;Avenida Palencia 41, barrio 25 años de Paz;-4,716878;41,661293;F6-Estadio;;
779;Avenida Palencia 41, barrio 25 años de Paz;-4,716878;41,661293;M2-Plaza Mayor;;
779;Avenida Palencia 41, barrio 25 años de Paz;-4,716878;41,661293;P1-Rubia ;;
780;Avenida Palencia, esquina calle Amor de Dios;-4,715947;41,661842;1-San Pedro Regalado;;
780;Avenida Palencia, esquina calle Amor de Dios;-4,715947;41,661842;B1-San Pedro Regalado;;
780;Avenida Palencia, esquina calle Amor de Dios;-4,715947;41,661842;F6-San Pedro Regalado;;
797;Avenida Ramón Pradera 15-17;-4,736549;41,659281;12-Paseo Zorrilla 1;;
797;Avenida Ramón Pradera 15-17;-4,736549;41,659281;18-La Cistérniga;;
797;Avenida Ramón Pradera 15-17;-4,736549;41,659281;25-Entrepinos ;;
797;Avenida Ramón Pradera 15-17;-4,736549;41,659281;5-Entrepinos;;
797;Avenida Ramón Pradera 15-17;-4,736549;41,659281;F6-Estadio;;
795;Avenida Ramón Pradera frente Hotel NH;-4,737210;41,656800;12-Paseo Zorrilla 1;;
795;Avenida Ramón Pradera frente Hotel NH;-4,737210;41,656800;18-La Cistérniga;;
795;Avenida Ramón Pradera frente Hotel NH;-4,737210;41,656800;25-Entrepinos ;;
795;Avenida Ramón Pradera frente Hotel NH;-4,737210;41,656800;5-Entrepinos;;
795;Avenida Ramón Pradera frente Hotel NH;-4,737210;41,656800;6-Delicias;;
795;Avenida Ramón Pradera frente Hotel NH;-4,737210;41,656800;B2-Delicias;;
795;Avenida Ramón Pradera frente Hotel NH;-4,737210;41,656800;F6-Estadio;;
795;Avenida Ramón Pradera frente Hotel NH;-4,737210;41,656800;M4-Plaza España ;;
795;Avenida Ramón Pradera frente Hotel NH;-4,737210;41,656800;P6-Polígono Argales;;
796;Avenida Ramón Pradera, Feria de Muestras;-4,738434;41,654252;12-Paseo Zorrilla 1;;
796;Avenida Ramón Pradera, Feria de Muestras;-4,738434;41,654252;18-La Cistérniga;;
796;Avenida Ramón Pradera, Feria de Muestras;-4,738434;41,654252;25-Entrepinos ;;
796;Avenida Ramón Pradera, Feria de Muestras;-4,738434;41,654252;5-Entrepinos;;
796;Avenida Ramón Pradera, Feria de Muestras;-4,738434;41,654252;6-Delicias;;
796;Avenida Ramón Pradera, Feria de Muestras;-4,738434;41,654252;B2-Delicias;;
796;Avenida Ramón Pradera, Feria de Muestras;-4,738434;41,654252;F6-Estadio;;
796;Avenida Ramón Pradera, Feria de Muestras;-4,738434;41,654252;M4-Plaza España ;;
796;Avenida Ramón Pradera, Feria de Muestras;-4,738434;41,654252;P6-Polígono Argales;;
794;Avenida Ramón Pradera, frente Feria de Muestras;-4,738242;41,654148;6-La Victoria ;;
794;Avenida Ramón Pradera, frente Feria de Muestras;-4,738242;41,654148;B2-La Victoria;;
833;Avenida Ramón y Cajal, Hospital Clínico;-4,719882;41,655561;17-Rondilla;;
833;Avenida Ramón y Cajal, Hospital Clínico;-4,719882;41,655561;18-La Overuela ;;
833;Avenida Ramón y Cajal, Hospital Clínico;-4,719882;41,655561;1-San Pedro Regalado;;
833;Avenida Ramón y Cajal, Hospital Clínico;-4,719882;41,655561;2-Barrio España;;
833;Avenida Ramón y Cajal, Hospital Clínico;-4,719882;41,655561;8-Belén ;;
833;Avenida Ramón y Cajal, Hospital Clínico;-4,719882;41,655561;B1-San Pedro Regalado;;
833;Avenida Ramón y Cajal, Hospital Clínico;-4,719882;41,655561;F5-Belén;;
870;Avenida Salamanca 1, Escuela Politécnica;-4,743292;41,642894;10-La Victoria;;
1323;Avenida Salamanca frente puente de Hispanoamérica;-4,760639;41,627189;10-Parquesol;;
1324;Avenida Salamanca, esquina  calle Santiago López González;-4,765455;41,625545;10-Parquesol;;
1166;Avenida Salamanca, esquina calle Doctor Villacián;-4,745925;41,638836;B4-Camino Viejo Simancas;;
1325;Avenida Salamanca, esquina calle Fray Antonio de Córdoba;-4,765707;41,625009;10-La Victoria;;
1169;Avenida Salamanca, esquina puente Juan de Austria;-4,745144;41,639088;10-Parquesol;;
1169;Avenida Salamanca, esquina puente Juan de Austria;-4,745144;41,639088;B4-Plaza Mayor;;
1273;Avenida Salamanca, esquina puente Juan de Austria sentido La Victoria;-4,744814;41,640234;10-La Victoria;;
1266;Avenida Salamanca, puente de Hispanoamérica;-4,758060;41,627527;10-La Victoria;;
879;Avenida Santander 49, barrio España;-4,710557;41,666398;1-Covaresa;;
879;Avenida Santander 49, barrio España;-4,710559;41,666400;B1-Covaresa;;
879;Avenida Santander 49, barrio España;-4,710560;41,666401;F6-Estadio;;
879;Avenida Santander 49, barrio España;-4,710561;41,666402;M2-Plaza Mayor;;
879;Avenida Santander 49, barrio España;-4,710558;41,666399;P1-Rubia ;;
880;Avenida Santander 8, frente barrio España;-4,710005;41,666608;1-San Pedro Regalado;;
880;Avenida Santander 8, frente barrio España;-4,710005;41,666608;B1-San Pedro Regalado;;
880;Avenida Santander 8, frente barrio España;-4,710005;41,666608;F6-San Pedro Regalado;;
878;Avenida Santander, Carrefour;-4,708075;41,668500;1-Covaresa;;
878;Avenida Santander, Carrefour;-4,708077;41,668700;B1-Covaresa;;
878;Avenida Santander, Carrefour;-4,708078;41,668800;F6-Estadio;;
878;Avenida Santander, Carrefour;-4,708079;41,668900;M2-Plaza Mayor;;
878;Avenida Santander, Carrefour;-4,708076;41,668600;P1-Rubia ;;
877;Avenida Santander, frente poblado Endasa;-4,713022;41,664182;1-San Pedro Regalado;;
877;Avenida Santander, frente poblado Endasa;-4,713023;41,664183;B1-San Pedro Regalado;;
877;Avenida Santander, frente poblado Endasa;-4,713024;41,664184;F6-San Pedro Regalado;;
876;Avenida Santander, poblado Endasa;-4,713245;41,664306;1-Covaresa;;
876;Avenida Santander, poblado Endasa;-4,713247;41,664308;B1-Covaresa;;
876;Avenida Santander, poblado Endasa;-4,713248;41,664309;F6-Estadio;;
876;Avenida Santander, poblado Endasa;-4,713249;41,664310;M2-Plaza Mayor;;
876;Avenida Santander, poblado Endasa;-4,713246;41,664307;P1-Rubia ;;
889;Avenida Segovia 161, frente calle Hornija;-4,720782;41,633414;14-Plaza España;;
890;Avenida Segovia 57, esquina Paseo San Vicente;-4,720407;41,641226;B2-La Victoria;;
890;Avenida Segovia 57, esquina Paseo San Vicente;-4,720407;41,641226;C1-Parquesol;;
890;Avenida Segovia 57, esquina Paseo San Vicente;-4,720407;41,641226;M3-Plaza Mayor;;
891;Avenida Segovia 88, esquina calle Hornija;-4,720881;41,633002;14-Polígono San Cristóbal;;
891;Avenida Segovia 88, esquina calle Hornija;-4,720881;41,633002;P13-Polígono San Cristóbal;;
892;Avenida Segovia 99, esquina calle Olmedo;-4,720766;41,639497;14-Plaza España;;
892;Avenida Segovia 99, esquina calle Olmedo;-4,720766;41,639497;6-La Victoria ;;
892;Avenida Segovia 99, esquina calle Olmedo;-4,720766;41,639497;9-Parquesol ;;
892;Avenida Segovia 99, esquina calle Olmedo;-4,720766;41,639497;B2-La Victoria;;
892;Avenida Segovia 99, esquina calle Olmedo;-4,720766;41,639497;C1-Parquesol;;
892;Avenida Segovia 99, esquina calle Olmedo;-4,720766;41,639497;F2-Estadio;;
892;Avenida Segovia 99, esquina calle Olmedo;-4,720766;41,639497;M3-Plaza Mayor;;
887;Avenida Segovia, esquina calle Trabajo;-4,720754;41,641758;14-Plaza España;;
887;Avenida Segovia, esquina calle Trabajo;-4,720754;41,641758;6-La Victoria ;;
887;Avenida Segovia, esquina calle Trabajo;-4,720754;41,641758;6-La Victoria ;;
887;Avenida Segovia, esquina calle Trabajo;-4,720754;41,641758;9-Parquesol ;;
887;Avenida Segovia, esquina calle Trabajo;-4,720754;41,641758;9-Parquesol ;;
887;Avenida Segovia, esquina calle Trabajo;-4,720754;41,641758;F2-Estadio;;
887;Avenida Segovia, esquina calle Trabajo;-4,720754;41,641758;F2-Estadio;;
885;Avenida Segovia, frente al número 57;-4,720531;41,641086;14-Polígono San Cristóbal;;
885;Avenida Segovia, frente al número 57;-4,720531;41,641086;6-Delicias;;
885;Avenida Segovia, frente al número 57;-4,720531;41,641086;9-Poligono San Cristóbal;;
885;Avenida Segovia, frente al número 57;-4,720531;41,641086;B2-Delicias;;
885;Avenida Segovia, frente al número 57;-4,720531;41,641086;C2-Parquesol ;;
885;Avenida Segovia, frente al número 57;-4,720531;41,641086;F2-Delicias;;
885;Avenida Segovia, frente al número 57;-4,720531;41,641086;P13-Polígono San Cristóbal;;
885;Avenida Segovia, frente al número 57;-4,720531;41,641086;P6-Polígono Argales;;
885;Avenida Segovia, frente al número 57;-4,720531;41,641086;PSC3-Parquesol;;
883;Avenida Segovia, frente iglesia del Carmen;-4,721928;41,637799;14-Polígono San Cristóbal;;
883;Avenida Segovia, frente iglesia del Carmen;-4,721928;41,637799;6-Delicias;;
883;Avenida Segovia, frente iglesia del Carmen;-4,721928;41,637799;B2-Delicias;;
883;Avenida Segovia, frente iglesia del Carmen;-4,721928;41,637799;C2-Parquesol ;;
883;Avenida Segovia, frente iglesia del Carmen;-4,721928;41,637799;F2-Delicias;;
883;Avenida Segovia, frente iglesia del Carmen;-4,721928;41,637799;P13-Polígono San Cristóbal;;
883;Avenida Segovia, frente iglesia del Carmen;-4,721928;41,637799;P6-Polígono Argales;;
883;Avenida Segovia, frente iglesia del Carmen;-4,721928;41,637799;PSC3-Parquesol;;
886;Avenida Segovia, iglesia del Carmen;-4,721644;41,637778;14-Plaza España;;
886;Avenida Segovia, iglesia del Carmen;-4,721644;41,637778;6-La Victoria ;;
886;Avenida Segovia, iglesia del Carmen;-4,721644;41,637778;9-Parquesol ;;
886;Avenida Segovia, iglesia del Carmen;-4,721644;41,637778;B2-La Victoria;;
886;Avenida Segovia, iglesia del Carmen;-4,721644;41,637778;C1-Parquesol;;
886;Avenida Segovia, iglesia del Carmen;-4,721644;41,637778;F2-Estadio;;
886;Avenida Segovia, iglesia del Carmen;-4,721644;41,637778;M3-Plaza Mayor;;
618;Avenida Soria, esquina calle Diego Velázquez;-4,684207;41,608761;18-La Cistérniga;;
618;Avenida Soria, esquina calle Diego Velázquez;-4,684207;41,608761;19-La Cistérniga;;
618;Avenida Soria, esquina calle Diego Velázquez;-4,684207;41,608761;B5-Duque de La Victoria ;;
679;Avenida Valle Esgueva 41, frente Facultad de Económicas;-4,710733;41,659562;8-Parquesol ;;
679;Avenida Valle Esgueva 41, frente Facultad de Económicas;-4,710733;41,659562;F5-Estadio ;;
678;Avenida Valle Esgueva 6, Facultad de Económicas;-4,711188;41,659480;8-Belén ;;
678;Avenida Valle Esgueva 6, Facultad de Económicas;-4,711188;41,659480;F5-Belén;;
677;Avenida Valle Esgueva 87, esquina Paseo Belén;-4,706376;41,659608;8-Belén ;;
677;Avenida Valle Esgueva 87, esquina Paseo Belén;-4,706376;41,659608;F5-Estadio;;
1191;Avenida Valle Esgueva frente  81, esquina Calle Incienso;-4,705701;41,659527;8-Belén;;
757;Avenida Vicente Mortes 1, esquina calle Joaquín Velasco Martín;-4,736618;41,653380;12-Paseo Zorrilla 1;;
757;Avenida Vicente Mortes 1, esquina calle Joaquín Velasco Martín;-4,736618;41,653380;18-La Cistérniga;;
757;Avenida Vicente Mortes 1, esquina calle Joaquín Velasco Martín;-4,736618;41,653380;6-Delicias;;
757;Avenida Vicente Mortes 1, esquina calle Joaquín Velasco Martín;-4,736618;41,653380;B2-Delicias;;
757;Avenida Vicente Mortes 1, esquina calle Joaquín Velasco Martín;-4,736618;41,653380;M4-Plaza España ;;
757;Avenida Vicente Mortes 1, esquina calle Joaquín Velasco Martín;-4,736618;41,653380;P6-Polígono Argales;;
759;Avenida Vicente Mortes 4, esquina avenida Salamanca;-4,736603;41,653542;6-La Victoria ;;
926;Avenida Zamora, frente  colegio de San Agustín;-4,726920;41,617981;16-Plaza España ;;
1156;Calle Acera Recoletos, frente 2 esquina Plaza Zorrilla;-4,728783;41,647582;16-Colegio San Juan de Dios;;
